pairblock,pair,block,water.yr,ecosite,plot,x,y,wspg,c3pg,forb,total.mass,wyr.ppt,f.ppt,cs.ppt,gs.ppt,sp.ppt,lag.wyr,lag.f,lag.cs,lag.gs,lag2.f,lag2.cs,lag2.gs,lag.mass,total.mass.dm,wspg.dm,c3pg.dm,forb.dm
1_10,1,10,2020,Sandy,1,526009.5,4518220,42.5975,418.03,2.7725,463.4,259.2032982,33.60951382,85.31974314,140.2740412,178.6944467,335.403605,18.90398541,89.50717282,226.9924468,76.90197522,150.1297791,150.1297791,1518.085,-901.2518939,-206.7428409,-402.2351136,-291.1712121
1_10,1,10,2021,Sandy,1,526009.5,4518220,564.8375,858.6425,703.64375,2127.12375,473.9868809,24.35214957,111.9022728,337.7324585,360.6960153,259.2032982,33.60951382,85.31974314,140.2740412,18.90398541,226.9924468,226.9924468,463.4,762.4718561,315.4971591,38.37738636,409.7000379
1_10,1,10,2022,Sandy,1,526009.5,4518220,90.43125,203.05375,9.52625,303.01125,278.1562772,42.20461426,67.85819604,168.0934669,110.212492,473.9868809,24.35214957,111.9022728,337.7324585,33.60951382,140.2740412,140.2740412,2127.12375,-1061.640644,-158.9090909,-617.2113636,-284.4174621
1_10,1,10,2023,Sandy,1,526009.5,4518220,671.07875,858.04625,1235.025,2764.15,460.7148912,45.93715786,48.514,366.2637334,274.8917158,278.1562772,42.20461426,67.85819604,168.0934669,24.35214957,337.7324585,337.7324585,303.01125,1399.498106,421.7384091,37.78113636,941.0812879
1_2,1,2,2013,Loamy,1,520907.5,4518530,348.6175,30.2725,37.13625,473.47875,251.717767,68.75664907,26.416,156.545118,120.1571314,209.7334116,89.32465504,18.288,102.1207566,8.871093184,212.7122678,212.7122678,NA,-602.6625,-20.55659091,-302.9110227,-171.8286364
1_2,1,2,2014,Loamy,1,520907.5,4518530,398.87,345.92625,88.87,959.17375,495.1961258,192.2912754,76.2,226.7048504,169.480578,251.717767,68.75664907,26.416,156.545118,89.32465504,102.1207566,102.1207566,473.47875,-116.9675,29.69590909,12.74272727,-120.0948864
1_2,1,2,2015,Loamy,1,520907.5,4518530,705.23625,334.55625,132.12625,1210.80375,403.6804784,72.41387553,60.198,271.0686029,243.5254796,495.1961258,192.2912754,76.2,226.7048504,68.75664907,156.545118,156.545118,959.17375,134.6625,336.0621591,1.372727273,-76.83863636
1_2,1,2,2016,Loamy,1,520907.5,4518530,273.67375,194.69125,106.09125,826.33375,238.7595351,59.25637027,71.374,108.1291648,106.7979199,403.6804784,72.41387553,60.198,271.0686029,192.2912754,226.7048504,226.7048504,1210.80375,-249.8075,-95.50034091,-138.4922727,-102.8736364
1_2,1,2,2017,Loamy,1,520907.5,4518530,410.03875,418.985,78.3075,916.69125,297.3783207,47.53684354,55.88,193.9614772,161.9171712,238.7595351,59.25637027,71.374,108.1291648,72.41387553,271.0686029,271.0686029,826.33375,-159.45,40.86465909,85.80147727,-130.6573864
1_2,1,2,2018,Loamy,1,520907.5,4518530,207.80875,187.89875,131.65625,771.165,300.6359966,87.33101658,53.34,159.96498,156.797156,297.3783207,47.53684354,55.88,193.9614772,59.25637027,108.1291648,108.1291648,916.69125,-304.97625,-161.3653409,-145.2847727,-77.30863636
1_2,1,2,2019,Loamy,1,520907.5,4518530,253.665,662.31,198.1025,1360.23375,349.0078044,14.74617769,90.68522064,243.5764061,289.406232,300.6359966,87.33101658,53.34,159.96498,47.53684354,193.9614772,193.9614772,771.165,284.0925,-115.5090909,329.1264773,-10.86238636
1_2,1,2,2020,Loamy,1,520907.5,4518530,131.16625,286.84625,12.075,457.77625,283.0229893,39.26036575,81.8956787,161.8669448,192.2018163,349.0078044,14.74617769,90.68522064,243.5764061,87.33101658,159.96498,159.96498,1360.23375,-618.365,-238.0078409,-46.33727273,-196.8898864
1_2,1,2,2021,Loamy,1,520907.5,4518530,337.5025,344.63875,55.415,1101.48375,399.8447732,32.18548407,113.391358,254.2679311,293.0502482,283.0229893,39.26036575,81.8956787,161.8669448,14.74617769,243.5764061,243.5764061,457.77625,25.3425,-31.67159091,11.45522727,-153.5498864
1_2,1,2,2022,Loamy,1,520907.5,4518530,73.37,59.65875,53.10625,189.0475,249.1715466,49.36662593,65.93573677,133.8691839,103.1883576,399.8447732,32.18548407,113.391358,254.2679311,39.26036575,161.8669448,161.8669448,1101.48375,-887.09375,-295.8040909,-273.5247727,-155.8586364
1_2,1,2,2023,Loamy,1,520907.5,4518530,920.96625,799.235,1405.7275,3571.36625,414.0712792,51.451647,48.514,314.1056322,248.748445,249.1715466,49.36662593,65.93573677,133.8691839,32.18548407,254.2679311,254.2679311,189.0475,2495.225,551.7921591,466.0514773,1196.762614
1_3,1,3,2013,Loamy,1,521654.5,4517675,342.96625,98.8275,73.53,602.915,257.7547556,74.24772008,26.416,157.0910356,119.7433518,208.6205757,89.45700421,18.288,100.8755715,8.993120906,209.4096845,209.4096845,NA,-470.3555682,-227.1510227,6.060227273,-183.4123864
1_3,1,3,2014,Loamy,1,521654.5,4517675,470.3175,23.075,401.695,1386.7975,491.8121772,190.1693909,76.2,225.4427863,165.0905071,257.7547556,74.24772008,26.416,157.0910356,89.45700421,100.8755715,100.8755715,602.915,313.5269318,-99.79977273,-69.69227273,144.7526136
1_3,1,3,2015,Loamy,1,521654.5,4517675,421.405,71.175,1104.98375,1673.18,403.1055063,77.50483031,60.198,265.402676,236.8135613,491.8121772,190.1693909,76.2,225.4427863,74.24772008,157.0910356,157.0910356,1386.7975,599.9094318,-148.7122727,-21.59227273,848.0413636
1_3,1,3,2016,Loamy,1,521654.5,4517675,204.985,104.745,43.99875,635.0725,235.5116937,57.82159538,71.374,106.3160984,105.4289672,403.1055063,77.50483031,60.198,265.402676,190.1693909,225.4427863,225.4427863,1673.18,-438.1980682,-365.1322727,11.97772727,-212.9436364
1_3,1,3,2017,Loamy,1,521654.5,4517675,748.8325,120.55625,229.3375,1135.05375,296.539084,44.25111641,55.88,196.4079676,160.5919505,235.5116937,57.82159538,71.374,106.3160984,77.50483031,265.402676,265.402676,635.0725,61.78318182,178.7152273,27.78897727,-27.60488636
