"","id","year","month","month.ppt","water.yr"
"126","10SNE",2011,7,66.1803805033366,NA
"127","10SNE",2012,7,48.0660025278727,NA
"128","10SNE",2013,7,52.7156823476156,NA
"129","10SNE",2014,7,58.0363178253174,NA
"130","10SNE",2015,7,36.6177520751953,NA
"131","10SNE",2016,7,24.9080197016398,NA
"132","10SNE",2017,7,26.963147799174,NA
"133","10SNE",2018,7,23.1125100453695,NA
"134","10SNE",2010,8,10.2231609026591,NA
"135","10SNE",2011,8,11.8065856297811,NA
"136","10SNE",2012,8,4.57482735315959,NA
"137","10SNE",2013,8,35.6933879852295,NA
"138","10SNE",2014,8,18.4885737101237,NA
"139","10SNE",2015,8,16.4628591537476,NA
"140","10SNE",2016,8,26.4040457407633,NA
"141","10SNE",2017,8,30.0655126571655,NA
"142","10SNE",2018,8,5.99786114692688,NA
"143","10SNE",2010,9,1.59127815564473,NA
"144","10SNE",2011,9,31.7765992482503,NA
"145","10SNE",2012,9,36.5340983072917,NA
"146","10SNE",2013,9,128.454250335693,NA
"147","10SNE",2014,9,31.0879844029744,NA
"148","10SNE",2015,9,1.01600003242493,NA
"149","10SNE",2016,9,9.72284666697184,NA
"150","10SNE",2017,9,33.3859736124674,NA
"151","10SNE",2018,9,0.60063095887502,NA
"152","10SNE",2011,10,45.7200012207031,NA
"153","10SNE",2012,10,30.3490368525187,NA
"154","10SNE",2013,10,42.6720008850098,NA
"155","10SNE",2014,10,16.9840930302938,NA
"156","10SNE",2015,10,47.7519989013672,NA
"157","10SNE",2016,10,11.9379997253418,NA
"158","10SNE",2017,10,19.5580005645752,NA
"159","10SNE",2018,10,NA,NA
"160","10SNE",2018,10,8.59753656387329,NA
"161","10SNE",2018,11,4.12046583493551,NA
"162","10SNE",2018,12,2.76878980795542,NA
"163","10SNE",2019,1,1.98105094830195,NA
"164","10SNE",2019,2,1.80440467596054,NA
"165","10SNE",2019,3,74.7964528401693,NA
"166","10SNE",2019,4,33.0820802052816,NA
"167","10SNE",2019,5,118.572338104248,NA
"168","10SNE",2019,6,63.8913040161133,NA
"169","10SNE",2019,7,36.6126594543457,NA
"170","10SNE",2019,8,4.04742634296417,NA
"171","10SNE",2019,9,16.4696143468221,NA
"172","10SNE",2019,10,13.0347166061401,NA
"173","10SNE",2019,11,13.6351830164591,NA
"174","10SNE",2019,12,15.3143146832784,NA
"175","10SNE",2020,1,0,NA
"176","10SNE",2020,2,8.40224599838257,NA
"177","10SNE",2020,3,41.2221406300863,NA
"178","10SNE",2020,4,17.0854943593343,NA
"179","10SNE",2020,5,57.8603274027506,NA
"180","10SNE",2020,6,62.1726601918538,NA
"181","10SNE",2020,7,25.9489014943441,NA
"182","10SNE",2020,8,18.2110741933187,NA
"183","10SNE",2020,9,9.38085746765137,NA
"184","10SNE",2020,10,2.04186246792475,NA
"185","10SNE",2020,11,7.11199998855591,NA
"186","10SNE",2020,12,10.0918699900309,NA
"187","10SNE",2021,1,13.5211297671,NA
"188","10SNE",2021,2,20.464900970459,NA
"189","10SNE",2021,3,61.4240900675456,NA
"190","10SNE",2021,4,54.5890623728434,NA
"191","10SNE",2021,5,84.6000951131185,NA
"192","10SNE",2021,6,34.5124731063843,NA
"193","10SNE",2021,7,32.6114619572957,NA
"194","10SNE",2021,8,23.0104751586914,NA
"195","10SNE",2021,9,8.79958311716715,NA
"196","10SNE",2021,10,5.65340582529704,NA
"197","10SNE",2021,11,14.0425535837809,NA
"198","10SNE",2021,12,3.45688605308533,NA
"199","10SNE",2022,1,18.5830949147542,NA
"200","10SNE",2022,2,10.1245422363281,NA
"201","10SNE",2022,3,19.3134485880534,NA
"202","10SNE",2022,4,3.06977478663127,NA
"203","10SNE",2022,5,60.7740599314372,NA
"204","10SNE",2022,6,7.82600919405619,NA
"205","10SNE",2022,7,58.592046101888,NA
"206","10SNE",2022,8,23.4939966201782,NA
"207","10SNE",2022,9,24.3640972773234,NA
"208","10SNE",2023,5,69.4128646850586,NA
"209","10SNE",2023,6,121.318060557048,NA
"210","10SNE",2023,7,102.658659617106,NA
"211","10SNE",2023,8,80.0752334594727,NA
"212","10SNE",2023,9,15.957234064738,NA
"213","11NS",2010,5,83.8186701724404,NA
"214","11NS",2011,5,81.7418453818873,NA
"215","11NS",2012,5,18.7920564350329,NA
"216","11NS",2013,5,47.9751131158126,NA
"217","11NS",2014,5,43.1840161775288,NA
"218","11NS",2015,5,143.42914139597,NA
"219","11NS",2016,5,31.5087295331453,NA
"220","11NS",2017,5,88.408651653089,NA
"221","11NS",2018,5,110.930872866982,NA
"222","11NS",2010,6,48.2696404708059,NA
"223","11NS",2011,6,33.1436413212826,NA
"224","11NS",2012,6,9.47517987301475,NA
"225","11NS",2013,6,5.29427254827399,NA
"226","11NS",2014,6,82.8738134283768,NA
"227","11NS",2015,6,56.084614603143,NA
"228","11NS",2016,6,26.4883040377968,NA
"229","11NS",2017,6,7.3419260225798,NA
"230","11NS",2018,6,22.4305532355058,NA
"231","11NS",2010,7,41.8330782840126,NA
"232","11NS",2011,7,62.5763875057823,NA
"233","11NS",2012,7,52.215379614579,NA
"234","11NS",2013,7,55.9438572933799,NA
"235","11NS",2014,7,59.1657887508995,NA
"236","11NS",2015,7,34.978089784321,NA
"237","11NS",2016,7,23.5982555590178,NA
"238","11NS",2017,7,38.2519184915643,NA
"239","11NS",2018,7,23.0207669107538,NA
"240","11NS",2010,8,9.20593904194079,NA
"241","11NS",2011,8,13.077557212428,NA
"242","11NS",2012,8,4.10880565643311,NA
"243","11NS",2013,8,35.170995812667,NA
"244","11NS",2014,8,20.2334181133069,NA
"245","11NS",2015,8,15.4006183523881,NA
"246","11NS",2016,8,30.6520427904631,NA
"247","11NS",2017,8,30.9281481692665,NA
"248","11NS",2018,8,6.08583179273103,NA
"249","11NS",2010,9,1.42599220024912,NA
"250","11NS",2011,9,31.7891058670847,NA
"251","11NS",2012,9,39.9545687625283,NA
"252","11NS",2013,9,118.278955961529,NA
"253","11NS",2014,9,30.6348201350162,NA
"254","11NS",2015,9,1.01600003242493,NA
"255","11NS",2016,9,11.1496616664686,NA
"256","11NS",2017,9,34.8928126284951,NA
"257","11NS",2018,9,0.704309507420188,NA
"258","11NS",2011,10,45.7200012207031,NA
"259","11NS",2012,10,28.5464947349147,NA
"260","11NS",2013,10,42.6720008850098,NA
"261","11NS",2014,10,17.8445919438412,NA
"262","11NS",2015,10,47.7519989013672,NA
"263","11NS",2016,10,11.9379997253418,NA
